H2,CO,C2H4,C2H2,C2H6,CH4,H2_integ,H2_delta,CO_integ,CO_delta,C2H4_integ,C2H4_delta,C2H2_integ,C2H2_delta,C2H6_integ,C2H6_delta,CH4_integ,CH4_delta,H2_norm,CH4_norm,C2H6_norm,C2H2_norm,CO_norm
0.0028893993964,0.00035002318344,0.0046210944364999,0.00358944576328,0.0075104938328999,0.00647884515968,-1.3173286592440394,0.0,-0.9508075435514428,0.0,-2.9900482954667464,0.0,-3.2189437463469246,0.0,-4.307376954710783,0.0,-4.536272405590967,0.0,-0.0021106006036,-0.0015211548403200005,0.0015104938328999,0.00278944576328,-0.05264997681656
0.0028883997196,0.0003402011393899,0.004618343623,0.0035688019983798,0.0075067433426,0.0064572017179798,-1.3115508601280392,-9.996767999999497e-07,-0.9501173192286129,-9.822044050099982e-06,-2.9808088574072467,-2.7508134998995362e-06,-3.211785498585265,-2.0643764900199913e-05,-4.292359717535284,-3.7504902998999196e-06,-4.523336358713308,-2.1643441700199863e-05,-0.0021116002804,-0.0015427982820202003,0.0015067433426,0.0027688019983798003,-0.0526597988606101
0.0028874292273,0.00033071322363,0.0046157328648,0.00354885567456,0.0075031620921,0.00643628490186,-1.3057750311811394,-9.704923000001218e-07,-0.949446404865593,-9.487915759900012e-06,-2.9715747809194464,-2.610758200000292e-06,-3.204667840912325,-1.9946323819800254e-05,-4.277349812100583,-3.58125049999998e-06,-4.510442872093468,-2.091681611979951e-05,-0.0021125707727,-0.0015637150981399998,0.0015031620921,0.00274885567456,-0.05266928677637
0.0028864874076999,0.00032155357579,0.0046132597053999,0.0035295945592799,0.0074997471130998,0.0064160819669798,-1.3000011145461394,-9.418196000999905e-07,-0.948794138066173,-9.159647839999973e-06,-2.9623457883492468,-2.4731594001001223e-06,-3.1975893906784854,-1.9261115280100154e-05,-4.262346902895383,-3.4149790002005465e-06,-4.497590505224628,-2.0202934880200578e-05,-0.0021135125923001,-0.0015839180330202004,0.0014997471130997996,0.0027295945592799,-0.05267844642421
0.0028855737105999,0.00031271589648,0.0046109215043,0.0035110055035598997,0.0074964952148999,0.0063965792141598,-1.2942290534278398,-9.136971000000757e-07,-0.948159868593903,-8.837679309999999e-06,-2.9531216071395465,-2.3382010998999198e-06,-3.190548790615645,-1.8589055720000074e-05,-4.247350660567384,-3.2518981998999955e-06,-4.484777844043489,-1.950275282000015e-05,-0.0021144262894001002,-0.0016034207858402006,0.0014964952148998996,0.0027110055035598998,-0.05268728410352
0.0028846875494,0.00030419347101,0.004608715447,0.00349307449142,0.0074934029963999995,0.00637776204082,-1.2884587921678399,-8.861611999000721e-07,-0.947542959226413,-8.522425470000009e-06,-2.943901970188247,-2.2060573000000708e-06,-3.1835447106206654,-1.7931012139899873e-05,-4.232360762356085,-3.092218499900143e-06,-4.4720035027885086,-1.8817173339799945e-05,-0.0021153124506000003,-0.0016222379591800005,0.0014934029963999994,0.00269307449142,-0.052695806528989995
0.0028838283035999,0.00029597919416,0.0046066385551,0.0034757866919199,0.0074904668586999006,0.006359614995519801,-1.2826902763148398,-8.592458000996478e-07,-0.946942786561243,-8.214276849999997e-06,-2.934686616186147,-2.0768918999993294e-06,-3.176575849437325,-1.728779950009975e-05,-4.217376892500985,-2.936137700098977e-06,-4.459266125752169,-1.8147045300198963e-05,-0.0021161716964001,-0.0016403850044801995,0.0014904668586999004,0.0026757866919199,-0.052704020805839996
0.0028829953206,0.00028806559584,0.0046046876976,0.00345912651228,0.0074876830182,0.006342121832879999,-1.27692345269064,-8.329829999003183e-07,-0.9463587417712429,-7.913598320000007e-06,-2.925475289933447,-1.9508575000003886e-06,-3.1696409362331255,-1.6660179639900116e-05,-4.202398742624085,-2.783840499900707e-06,-4.446564388923769,-1.7493162639801302e-05,-0.0021170046794000003,-0.0016578781671200008,0.0014876830181999997,0.00265912651228,-0.05271193440416
0.0028821879184,0.00028044486756,0.0046028596012,0.0034430776535200004,0.0074850475196,0.00632526557192,-1.27115826945164,-8.074021999996718e-07,-0.945790231307843,-7.620728280000012e-06,-2.916267742634647,-1.8280963999996874e-06,-3.1627387320673255,-1.6048858759999587e-05,-4.187426012086286,-2.635498599999793e-06,-4.43389700151897,-1.685626095999926e-05,-0.0021178120816,-0.00167473442808,0.0014850475196,0.0026430776535200005,-0.05271955513244
0.0028814053879,0.0002731088897099,0.0046011508627,0.0034276231673198,0.0074825562506,0.0063090285552198,-1.2653946761453398,-7.825305000002183e-07,-0.9452366775505731,-7.335977850100016e-06,-2.9070637321707467,-1.7087385000003064e-06,-3.1558680312464857,-1.5454486200200575e-05,-4.172458408316086,-2.4912689999996573e-06,-4.421262707391829,-1.6237016700199926e-05,-0.0021185946121,-0.0016909714447802,0.0014825562506000003,0.0026276231673198,-0.0527268911102901
